GT_Título,LLM_Título,Nível_GT,Nível_LLM,Similaridade,Caminho_GT,Caminho_LLM,Tamanho_GT,Tamanho_LLM
Comparative Study,Design and improvements in LWD-NMR,Nível 2,Nível 3,0.5767,Open Source Edge Computing Projects > Comparative Study,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > NMR applications in field scale > Design and improvements in LWD-NMR,348,1620
Comparative Study,Design and improvements in LWD-NMR,Nível 1,Nível 3,0.5767,Comparative Study,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > NMR applications in field scale > Design and improvements in LWD-NMR,348,1620
Cachier and Precog,Pore size distribution,Nível 3,Nível 3,0.576,root > Edge Computing Systems and Tools > Cachier and Precog,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > Petrophysics > Pore size distribution,649,792
Conclusions,Future research directions,Nível 2,Nível 2,0.576,root > Conclusions,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > Future research directions,559,439
Cachier and Precog,Pore size distribution,Nível 2,Nível 3,0.576,Edge Computing Systems and Tools > Cachier and Precog,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > Petrophysics > Pore size distribution,649,792
Cachier and Precog,Pore size distribution,Nível 1,Nível 3,0.576,Cachier and Precog,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > Petrophysics > Pore size distribution,649,792
Conclusions,Future research directions,Nível 1,Nível 2,0.576,Conclusions,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > Future research directions,559,439
Comparative Study,Introduction,Nível 3,Nível 2,0.574,root > Open Source Edge Computing Projects > Comparative Study,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > Introduction,348,1614
Comparative Study,Introduction,Nível 2,Nível 2,0.574,Open Source Edge Computing Projects > Comparative Study,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > Introduction,348,1614
Comparative Study,Introduction,Nível 1,Nível 2,0.574,Comparative Study,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > Introduction,348,1614
Cachier and Precog,Future research directions,Nível 3,Nível 2,0.5737,root > Edge Computing Systems and Tools > Cachier and Precog,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > Future research directions,649,439
Comparative Study,Relaxation measurements,Nível 3,Nível 2,0.5737,root > Open Source Edge Computing Projects > Comparative Study,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > Relaxation measurements,348,699
Cachier and Precog,Future research directions,Nível 2,Nível 2,0.5737,Edge Computing Systems and Tools > Cachier and Precog,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > Future research directions,649,439
Cachier and Precog,Future research directions,Nível 1,Nível 2,0.5737,Cachier and Precog,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > Future research directions,649,439
Comparative Study,Relaxation measurements,Nível 2,Nível 2,0.5737,Open Source Edge Computing Projects > Comparative Study,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > Relaxation measurements,348,699
Comparative Study,Relaxation measurements,Nível 1,Nível 2,0.5737,Comparative Study,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > Relaxation measurements,348,699
Deep Learning Packages,Relaxation measurements,Nível 3,Nível 2,0.573,root > Deep Learning Optimization at the Edge > Deep Learning Packages,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > Relaxation measurements,1025,699
Deep Learning Packages,Relaxation measurements,Nível 2,Nível 2,0.573,Deep Learning Optimization at the Edge > Deep Learning Packages,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > Relaxation measurements,1025,699
Deep Learning Packages,Relaxation measurements,Nível 1,Nível 2,0.573,Deep Learning Packages,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > Relaxation measurements,1025,699
Deep Learning Packages,Two-dimensional NMR measurements,Nível 3,Nível 2,0.5728,root > Deep Learning Optimization at the Edge > Deep Learning Packages,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > Two-dimensional NMR measurements,1025,780
Deep Learning Packages,Two-dimensional NMR measurements,Nível 2,Nível 2,0.5728,Deep Learning Optimization at the Edge > Deep Learning Packages,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > Two-dimensional NMR measurements,1025,780
Deep Learning Packages,Two-dimensional NMR measurements,Nível 1,Nível 2,0.5728,Deep Learning Packages,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > Two-dimensional NMR measurements,1025,780
At the Middle Edge Server Layer,Relaxation measurements,Nível 3,Nível 2,0.571,root > Enhancing Energy Efficiency of Edge Computing Systems > At the Middle Edge Server Layer,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > Relaxation measurements,90,699
At the Middle Edge Server Layer,NMR applications in laboratory scale,Nível 3,Nível 2,0.571,root > Enhancing Energy Efficiency of Edge Computing Systems > At the Middle Edge Server Layer,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > NMR applications in laboratory scale,90,664
At the Middle Edge Server Layer,Relaxation measurements,Nível 2,Nível 2,0.571,Enhancing Energy Efficiency of Edge Computing Systems > At the Middle Edge Server Layer,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > Relaxation measurements,90,699
At the Middle Edge Server Layer,NMR applications in laboratory scale,Nível 2,Nível 2,0.571,Enhancing Energy Efficiency of Edge Computing Systems > At the Middle Edge Server Layer,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > NMR applications in laboratory scale,90,664
At the Middle Edge Server Layer,Relaxation measurements,Nível 1,Nível 2,0.571,At the Middle Edge Server Layer,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > Relaxation measurements,90,699
At the Middle Edge Server Layer,NMR applications in laboratory scale,Nível 1,Nível 2,0.571,At the Middle Edge Server Layer,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > NMR applications in laboratory scale,90,664
Deep Learning Packages,Introduction,Nível 3,Nível 2,0.5703,root > Deep Learning Optimization at the Edge > Deep Learning Packages,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > Introduction,1025,1614
Deep Learning Packages,Introduction,Nível 2,Nível 2,0.5703,Deep Learning Optimization at the Edge > Deep Learning Packages,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > Introduction,1025,1614
Deep Learning Packages,Introduction,Nível 1,Nível 2,0.5703,Deep Learning Packages,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > Introduction,1025,1614
Comparative Study,References,Nível 3,Nível 2,0.569,root > Open Source Edge Computing Projects > Comparative Study,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > References,348,8779
Comparative Study,References,Nível 2,Nível 2,0.569,Open Source Edge Computing Projects > Comparative Study,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > References,348,8779
Comparative Study,References,Nível 1,Nível 2,0.569,Comparative Study,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > References,348,8779
Cachier and Precog,Diffusion measurements,Nível 3,Nível 2,0.567,root > Edge Computing Systems and Tools > Cachier and Precog,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > Diffusion measurements,649,726
Deep Learning Packages,References,Nível 3,Nível 2,0.567,root > Deep Learning Optimization at the Edge > Deep Learning Packages,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > References,1025,8779
Cachier and Precog,Diffusion measurements,Nível 2,Nível 2,0.567,Edge Computing Systems and Tools > Cachier and Precog,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > Diffusion measurements,649,726
Cachier and Precog,Diffusion measurements,Nível 1,Nível 2,0.567,Cachier and Precog,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > Diffusion measurements,649,726
Deep Learning Packages,References,Nível 2,Nível 2,0.567,Deep Learning Optimization at the Edge > Deep Learning Packages,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > References,1025,8779
Deep Learning Packages,References,Nível 1,Nível 2,0.567,Deep Learning Packages,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > References,1025,8779
Deep Learning Packages,Design and improvements in LWD-NMR,Nível 3,Nível 3,0.5664,root > Deep Learning Optimization at the Edge > Deep Learning Packages,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > NMR applications in field scale > Design and improvements in LWD-NMR,1025,1620
Deep Learning Packages,Design and improvements in LWD-NMR,Nível 2,Nível 3,0.5664,Deep Learning Optimization at the Edge > Deep Learning Packages,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > NMR applications in field scale > Design and improvements in LWD-NMR,1025,1620
Deep Learning Packages,Design and improvements in LWD-NMR,Nível 1,Nível 3,0.5664,Deep Learning Packages,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > NMR applications in field scale > Design and improvements in LWD-NMR,1025,1620
Cloud-Sea Computing Systems,Future research directions,Nível 3,Nível 2,0.5654,root > Edge Computing Systems and Tools > Cloud-Sea Computing Systems,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > Future research directions,587,439
Conclusions,References,Nível 2,Nível 2,0.5654,root > Conclusions,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > References,559,8779
Cloud-Sea Computing Systems,Future research directions,Nível 2,Nível 2,0.5654,Edge Computing Systems and Tools > Cloud-Sea Computing Systems,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > Future research directions,587,439
Cloud-Sea Computing Systems,Future research directions,Nível 1,Nível 2,0.5654,Cloud-Sea Computing Systems,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > Future research directions,587,439
Conclusions,References,Nível 1,Nível 2,0.5654,Conclusions,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > References,559,8779
ASIC,Relaxation measurements,Nível 4,Nível 2,0.565,root > Deep Learning Optimization at the Edge > Hardware System > ASIC,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > Relaxation measurements,205,699
ASIC,Relaxation measurements,Nível 3,Nível 2,0.565,Deep Learning Optimization at the Edge > Hardware System > ASIC,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > Relaxation measurements,205,699
ASIC,Relaxation measurements,Nível 2,Nível 2,0.565,Hardware System > ASIC,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > Relaxation measurements,205,699
ASIC,Relaxation measurements,Nível 1,Nível 2,0.565,ASIC,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > Relaxation measurements,205,699
Cachier and Precog,Introduction,Nível 3,Nível 2,0.5635,root > Edge Computing Systems and Tools > Cachier and Precog,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > Introduction,649,1614
Cachier and Precog,Introduction,Nível 2,Nível 2,0.5635,Edge Computing Systems and Tools > Cachier and Precog,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > Introduction,649,1614
Cachier and Precog,Introduction,Nível 1,Nível 2,0.5635,Cachier and Precog,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > Introduction,649,1614
Cloud-Sea Computing Systems,References,Nível 3,Nível 2,0.563,root > Edge Computing Systems and Tools > Cloud-Sea Computing Systems,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > References,587,8779
Cloud-Sea Computing Systems,References,Nível 2,Nível 2,0.563,Edge Computing Systems and Tools > Cloud-Sea Computing Systems,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > References,587,8779
Cloud-Sea Computing Systems,References,Nível 1,Nível 2,0.563,Cloud-Sea Computing Systems,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > References,587,8779
At the Middle Edge Server Layer,Two-dimensional NMR measurements,Nível 3,Nível 2,0.5615,root > Enhancing Energy Efficiency of Edge Computing Systems > At the Middle Edge Server Layer,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > Two-dimensional NMR measurements,90,780
At the Middle Edge Server Layer,Two-dimensional NMR measurements,Nível 2,Nível 2,0.5615,Enhancing Energy Efficiency of Edge Computing Systems > At the Middle Edge Server Layer,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > Two-dimensional NMR measurements,90,780
At the Middle Edge Server Layer,Two-dimensional NMR measurements,Nível 1,Nível 2,0.5615,At the Middle Edge Server Layer,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > Two-dimensional NMR measurements,90,780
Conclusions,Design and improvements in LWD-NMR,Nível 2,Nível 3,0.5605,root > Conclusions,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > NMR applications in field scale > Design and improvements in LWD-NMR,559,1620
Conclusions,Design and improvements in LWD-NMR,Nível 1,Nível 3,0.5605,Conclusions,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > NMR applications in field scale > Design and improvements in LWD-NMR,559,1620
Cachier and Precog,Tar detection in carbonates,Nível 3,Nível 4,0.5596,root > Edge Computing Systems and Tools > Cachier and Precog,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > NMR applications in field scale > Field implementation and applications > Tar detection in carbonates,649,491
Cachier and Precog,Tar detection in carbonates,Nível 2,Nível 4,0.5596,Edge Computing Systems and Tools > Cachier and Precog,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > NMR applications in field scale > Field implementation and applications > Tar detection in carbonates,649,491
Cachier and Precog,Tar detection in carbonates,Nível 1,Nível 4,0.5596,Cachier and Precog,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > NMR applications in field scale > Field implementation and applications > Tar detection in carbonates,649,491
Cachier and Precog,Design and improvements in LWD-NMR,Nível 3,Nível 3,0.558,root > Edge Computing Systems and Tools > Cachier and Precog,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > NMR applications in field scale > Design and improvements in LWD-NMR,649,1620
Cachier and Precog,Design and improvements in LWD-NMR,Nível 2,Nível 3,0.558,Edge Computing Systems and Tools > Cachier and Precog,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > NMR applications in field scale > Design and improvements in LWD-NMR,649,1620
Cachier and Precog,Design and improvements in LWD-NMR,Nível 1,Nível 3,0.558,Cachier and Precog,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > NMR applications in field scale > Design and improvements in LWD-NMR,649,1620
At the Middle Edge Server Layer,Future research directions,Nível 3,Nível 2,0.5576,root > Enhancing Energy Efficiency of Edge Computing Systems > At the Middle Edge Server Layer,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > Future research directions,90,439
At the Middle Edge Server Layer,Future research directions,Nível 2,Nível 2,0.5576,Enhancing Energy Efficiency of Edge Computing Systems > At the Middle Edge Server Layer,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > Future research directions,90,439
At the Middle Edge Server Layer,Future research directions,Nível 1,Nível 2,0.5576,At the Middle Edge Server Layer,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > Future research directions,90,439
Cachier and Precog,Permeability,Nível 3,Nível 3,0.557,root > Edge Computing Systems and Tools > Cachier and Precog,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > Petrophysics > Permeability,649,552
Comparative Study,Pore size distribution,Nível 3,Nível 3,0.557,root > Open Source Edge Computing Projects > Comparative Study,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > Petrophysics > Pore size distribution,348,792
Enhancing Energy Efficiency of Edge Computing Systems,Relaxation measurements,Nível 2,Nível 2,0.557,root > Enhancing Energy Efficiency of Edge Computing Systems,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > Relaxation measurements,84,699
Cachier and Precog,Permeability,Nível 2,Nível 3,0.557,Edge Computing Systems and Tools > Cachier and Precog,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > Petrophysics > Permeability,649,552
Cachier and Precog,Permeability,Nível 1,Nível 3,0.557,Cachier and Precog,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > Petrophysics > Permeability,649,552
Comparative Study,Pore size distribution,Nível 2,Nível 3,0.557,Open Source Edge Computing Projects > Comparative Study,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > Petrophysics > Pore size distribution,348,792
Comparative Study,Pore size distribution,Nível 1,Nível 3,0.557,Comparative Study,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > Petrophysics > Pore size distribution,348,792
Enhancing Energy Efficiency of Edge Computing Systems,Relaxation measurements,Nível 1,Nível 2,0.557,Enhancing Energy Efficiency of Edge Computing Systems,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > Relaxation measurements,84,699
Cachier and Precog,NMR applications in laboratory scale,Nível 3,Nível 2,0.5566,root > Edge Computing Systems and Tools > Cachier and Precog,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > NMR applications in laboratory scale,649,664
CORD,Future research directions,Nível 3,Nível 2,0.5566,root > Open Source Edge Computing Projects > CORD,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > Future research directions,590,439
Cachier and Precog,NMR applications in laboratory scale,Nível 2,Nível 2,0.5566,Edge Computing Systems and Tools > Cachier and Precog,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > NMR applications in laboratory scale,649,664
Cachier and Precog,NMR applications in laboratory scale,Nível 1,Nível 2,0.5566,Cachier and Precog,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > NMR applications in laboratory scale,649,664
CORD,Future research directions,Nível 2,Nível 2,0.5566,Open Source Edge Computing Projects > CORD,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > Future research directions,590,439
CORD,Future research directions,Nível 1,Nível 2,0.5566,CORD,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > Future research directions,590,439
Conclusions,Introduction,Nível 2,Nível 2,0.556,root > Conclusions,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > Introduction,559,1614
Conclusions,Introduction,Nível 1,Nível 2,0.556,Conclusions,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > Introduction,559,1614
CORD,Design and improvements in LWD-NMR,Nível 3,Nível 3,0.5547,root > Open Source Edge Computing Projects > CORD,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > NMR applications in field scale > Design and improvements in LWD-NMR,590,1620
