GT_Título,LLM_Título,Nível_GT,Nível_LLM,Similaridade,Caminho_GT,Caminho_LLM,Tamanho_GT,Tamanho_LLM
Transformer with Convolution,5.3 Image Segmentation,Nível 2,Nível 3,0.884,Backbone for Representation Learning > Transformer with Convolution,A Survey on Visual Transformers > 5 Applications and Performance Analysis > 5.3 Image Segmentation,425,733
Transformer with Convolution,5.3 Image Segmentation,Nível 1,Nível 3,0.884,Transformer with Convolution,A Survey on Visual Transformers > 5 Applications and Performance Analysis > 5.3 Image Segmentation,425,733
Transformer with Convolution,1.1 Historical Context and Development,Nível 4,Nível 3,0.88,root > Vision Transformer > Backbone for Representation Learning > Transformer with Convolution,A Survey on Visual Transformers > 1 Introduction to Visual Transformers > 1.1 Historical Context and Development,425,507
Transformer with Convolution,1.1 Historical Context and Development,Nível 3,Nível 3,0.88,Vision Transformer > Backbone for Representation Learning > Transformer with Convolution,A Survey on Visual Transformers > 1 Introduction to Visual Transformers > 1.1 Historical Context and Development,425,507
Transformer with Convolution,1.1 Historical Context and Development,Nível 2,Nível 3,0.88,Backbone for Representation Learning > Transformer with Convolution,A Survey on Visual Transformers > 1 Introduction to Visual Transformers > 1.1 Historical Context and Development,425,507
Transformer with Convolution,1.1 Historical Context and Development,Nível 1,Nível 3,0.88,Transformer with Convolution,A Survey on Visual Transformers > 1 Introduction to Visual Transformers > 1.1 Historical Context and Development,425,507
Pure Transformer,5.1 Image Classification,Nível 4,Nível 3,0.8794,root > Vision Transformer > Backbone for Representation Learning > Pure Transformer,A Survey on Visual Transformers > 5 Applications and Performance Analysis > 5.1 Image Classification,1415,574
Transformer with Convolution,References,Nível 4,Nível 2,0.8794,root > Vision Transformer > Backbone for Representation Learning > Transformer with Convolution,A Survey on Visual Transformers > References,425,642
Pure Transformer,5.1 Image Classification,Nível 3,Nível 3,0.8794,Vision Transformer > Backbone for Representation Learning > Pure Transformer,A Survey on Visual Transformers > 5 Applications and Performance Analysis > 5.1 Image Classification,1415,574
Transformer with Convolution,References,Nível 3,Nível 2,0.8794,Vision Transformer > Backbone for Representation Learning > Transformer with Convolution,A Survey on Visual Transformers > References,425,642
Pure Transformer,5.1 Image Classification,Nível 2,Nível 3,0.8794,Backbone for Representation Learning > Pure Transformer,A Survey on Visual Transformers > 5 Applications and Performance Analysis > 5.1 Image Classification,1415,574
Transformer with Convolution,References,Nível 2,Nível 2,0.8794,Backbone for Representation Learning > Transformer with Convolution,A Survey on Visual Transformers > References,425,642
Pure Transformer,5.1 Image Classification,Nível 1,Nível 3,0.8794,Pure Transformer,A Survey on Visual Transformers > 5 Applications and Performance Analysis > 5.1 Image Classification,1415,574
Transformer with Convolution,References,Nível 1,Nível 2,0.8794,Transformer with Convolution,A Survey on Visual Transformers > References,425,642
Challenges,5.2 Object Detection,Nível 3,Nível 3,0.8794,root > Conclusions and Discussions > Challenges,A Survey on Visual Transformers > 5 Applications and Performance Analysis > 5.2 Object Detection,396,810
Challenges,5.2 Object Detection,Nível 2,Nível 3,0.8794,Conclusions and Discussions > Challenges,A Survey on Visual Transformers > 5 Applications and Performance Analysis > 5.2 Object Detection,396,810
Challenges,5.2 Object Detection,Nível 1,Nível 3,0.8794,Challenges,A Survey on Visual Transformers > 5 Applications and Performance Analysis > 5.2 Object Detection,396,810
Backbone for Representation Learning,5.1 Image Classification,Nível 3,Nível 3,0.8774,root > Vision Transformer > Backbone for Representation Learning,A Survey on Visual Transformers > 5 Applications and Performance Analysis > 5.1 Image Classification,195,574
Challenges,3.4 Data Requirements and Learning Flexibility,Nível 3,Nível 3,0.8774,root > Conclusions and Discussions > Challenges,A Survey on Visual Transformers > 3 Attention Mechanisms and Learning Processes > 3.4 Data Requirements and Learning Flexibility,396,755
Backbone for Representation Learning,5.1 Image Classification,Nível 2,Nível 3,0.8774,Vision Transformer > Backbone for Representation Learning,A Survey on Visual Transformers > 5 Applications and Performance Analysis > 5.1 Image Classification,195,574
Backbone for Representation Learning,5.1 Image Classification,Nível 1,Nível 3,0.8774,Backbone for Representation Learning,A Survey on Visual Transformers > 5 Applications and Performance Analysis > 5.1 Image Classification,195,574
Challenges,3.4 Data Requirements and Learning Flexibility,Nível 2,Nível 3,0.8774,Conclusions and Discussions > Challenges,A Survey on Visual Transformers > 3 Attention Mechanisms and Learning Processes > 3.4 Data Requirements and Learning Flexibility,396,755
Challenges,3.4 Data Requirements and Learning Flexibility,Nível 1,Nível 3,0.8774,Challenges,A Survey on Visual Transformers > 3 Attention Mechanisms and Learning Processes > 3.4 Data Requirements and Learning Flexibility,396,755
Transformer with Convolution,3.4 Data Requirements and Learning Flexibility,Nível 4,Nível 3,0.877,root > Vision Transformer > Backbone for Representation Learning > Transformer with Convolution,A Survey on Visual Transformers > 3 Attention Mechanisms and Learning Processes > 3.4 Data Requirements and Learning Flexibility,425,755
Transformer with Convolution,3.4 Data Requirements and Learning Flexibility,Nível 3,Nível 3,0.877,Vision Transformer > Backbone for Representation Learning > Transformer with Convolution,A Survey on Visual Transformers > 3 Attention Mechanisms and Learning Processes > 3.4 Data Requirements and Learning Flexibility,425,755
Transformer with Convolution,3.4 Data Requirements and Learning Flexibility,Nível 2,Nível 3,0.877,Backbone for Representation Learning > Transformer with Convolution,A Survey on Visual Transformers > 3 Attention Mechanisms and Learning Processes > 3.4 Data Requirements and Learning Flexibility,425,755
Transformer with Convolution,3.4 Data Requirements and Learning Flexibility,Nível 1,Nível 3,0.877,Transformer with Convolution,A Survey on Visual Transformers > 3 Attention Mechanisms and Learning Processes > 3.4 Data Requirements and Learning Flexibility,425,755
Challenges,References,Nível 3,Nível 2,0.875,root > Conclusions and Discussions > Challenges,A Survey on Visual Transformers > References,396,642
Future Prospects,References,Nível 3,Nível 2,0.875,root > Conclusions and Discussions > Future Prospects,A Survey on Visual Transformers > References,2535,642
Challenges,References,Nível 2,Nível 2,0.875,Conclusions and Discussions > Challenges,A Survey on Visual Transformers > References,396,642
Future Prospects,References,Nível 2,Nível 2,0.875,Conclusions and Discussions > Future Prospects,A Survey on Visual Transformers > References,2535,642
Challenges,References,Nível 1,Nível 2,0.875,Challenges,A Survey on Visual Transformers > References,396,642
Future Prospects,References,Nível 1,Nível 2,0.875,Future Prospects,A Survey on Visual Transformers > References,2535,642
Pure Transformer,1.2 Key Concepts and Architecture Overview,Nível 4,Nível 3,0.8745,root > Vision Transformer > Backbone for Representation Learning > Pure Transformer,A Survey on Visual Transformers > 1 Introduction to Visual Transformers > 1.2 Key Concepts and Architecture Overview,1415,580
Pure Transformer,1.2 Key Concepts and Architecture Overview,Nível 3,Nível 3,0.8745,Vision Transformer > Backbone for Representation Learning > Pure Transformer,A Survey on Visual Transformers > 1 Introduction to Visual Transformers > 1.2 Key Concepts and Architecture Overview,1415,580
Pure Transformer,1.2 Key Concepts and Architecture Overview,Nível 2,Nível 3,0.8745,Backbone for Representation Learning > Pure Transformer,A Survey on Visual Transformers > 1 Introduction to Visual Transformers > 1.2 Key Concepts and Architecture Overview,1415,580
Pure Transformer,1.2 Key Concepts and Architecture Overview,Nível 1,Nível 3,0.8745,Pure Transformer,A Survey on Visual Transformers > 1 Introduction to Visual Transformers > 1.2 Key Concepts and Architecture Overview,1415,580
Challenges,6.3 Data Requirements,Nível 3,Nível 3,0.868,root > Conclusions and Discussions > Challenges,A Survey on Visual Transformers > 6 Challenges and Future Directions > 6.3 Data Requirements,396,704
Challenges,6.3 Data Requirements,Nível 2,Nível 3,0.868,Conclusions and Discussions > Challenges,A Survey on Visual Transformers > 6 Challenges and Future Directions > 6.3 Data Requirements,396,704
Challenges,6.3 Data Requirements,Nível 1,Nível 3,0.868,Challenges,A Survey on Visual Transformers > 6 Challenges and Future Directions > 6.3 Data Requirements,396,704
Segmentation,5.3 Image Segmentation,Nível 4,Nível 3,0.8657,root > Vision Transformer > High/Mid-level Vision > Segmentation,A Survey on Visual Transformers > 5 Applications and Performance Analysis > 5.3 Image Segmentation,512,733
Challenges,1.1 Historical Context and Development,Nível 3,Nível 3,0.8657,root > Conclusions and Discussions > Challenges,A Survey on Visual Transformers > 1 Introduction to Visual Transformers > 1.1 Historical Context and Development,396,507
Segmentation,5.3 Image Segmentation,Nível 3,Nível 3,0.8657,Vision Transformer > High/Mid-level Vision > Segmentation,A Survey on Visual Transformers > 5 Applications and Performance Analysis > 5.3 Image Segmentation,512,733
Segmentation,5.3 Image Segmentation,Nível 2,Nível 3,0.8657,High/Mid-level Vision > Segmentation,A Survey on Visual Transformers > 5 Applications and Performance Analysis > 5.3 Image Segmentation,512,733
Segmentation,5.3 Image Segmentation,Nível 1,Nível 3,0.8657,Segmentation,A Survey on Visual Transformers > 5 Applications and Performance Analysis > 5.3 Image Segmentation,512,733
Challenges,1.1 Historical Context and Development,Nível 2,Nível 3,0.8657,Conclusions and Discussions > Challenges,A Survey on Visual Transformers > 1 Introduction to Visual Transformers > 1.1 Historical Context and Development,396,507
Challenges,1.1 Historical Context and Development,Nível 1,Nível 3,0.8657,Challenges,A Survey on Visual Transformers > 1 Introduction to Visual Transformers > 1.1 Historical Context and Development,396,507
Challenges,1.3 Comparison with Traditional Convolutional Neural Networks,Nível 3,Nível 3,0.8657,root > Conclusions and Discussions > Challenges,A Survey on Visual Transformers > 1 Introduction to Visual Transformers > 1.3 Comparison with Traditional Convolutional Neural Networks,396,705
Challenges,1.3 Comparison with Traditional Convolutional Neural Networks,Nível 2,Nível 3,0.8657,Conclusions and Discussions > Challenges,A Survey on Visual Transformers > 1 Introduction to Visual Transformers > 1.3 Comparison with Traditional Convolutional Neural Networks,396,705
Challenges,1.3 Comparison with Traditional Convolutional Neural Networks,Nível 1,Nível 3,0.8657,Challenges,A Survey on Visual Transformers > 1 Introduction to Visual Transformers > 1.3 Comparison with Traditional Convolutional Neural Networks,396,705
Challenges,2.9 Convolutions in Vision Transformers,Nível 3,Nível 3,0.864,root > Conclusions and Discussions > Challenges,A Survey on Visual Transformers > 2 Architectural Innovations in Visual Transformers > 2.9 Convolutions in Vision Transformers,396,710
Challenges,2.9 Convolutions in Vision Transformers,Nível 2,Nível 3,0.864,Conclusions and Discussions > Challenges,A Survey on Visual Transformers > 2 Architectural Innovations in Visual Transformers > 2.9 Convolutions in Vision Transformers,396,710
Challenges,2.9 Convolutions in Vision Transformers,Nível 1,Nível 3,0.864,Challenges,A Survey on Visual Transformers > 2 Architectural Innovations in Visual Transformers > 2.9 Convolutions in Vision Transformers,396,710
Transformer with Convolution,6.3 Data Requirements,Nível 4,Nível 3,0.862,root > Vision Transformer > Backbone for Representation Learning > Transformer with Convolution,A Survey on Visual Transformers > 6 Challenges and Future Directions > 6.3 Data Requirements,425,704
Discussions,5.3 Image Segmentation,Nível 4,Nível 3,0.862,root > Vision Transformer > High/Mid-level Vision > Discussions,A Survey on Visual Transformers > 5 Applications and Performance Analysis > 5.3 Image Segmentation,197,733
Transformer with Convolution,6.3 Data Requirements,Nível 3,Nível 3,0.862,Vision Transformer > Backbone for Representation Learning > Transformer with Convolution,A Survey on Visual Transformers > 6 Challenges and Future Directions > 6.3 Data Requirements,425,704
Discussions,5.3 Image Segmentation,Nível 3,Nível 3,0.862,Vision Transformer > High/Mid-level Vision > Discussions,A Survey on Visual Transformers > 5 Applications and Performance Analysis > 5.3 Image Segmentation,197,733
Transformer with Convolution,6.3 Data Requirements,Nível 2,Nível 3,0.862,Backbone for Representation Learning > Transformer with Convolution,A Survey on Visual Transformers > 6 Challenges and Future Directions > 6.3 Data Requirements,425,704
Transformer with Convolution,6.3 Data Requirements,Nível 1,Nível 3,0.862,Transformer with Convolution,A Survey on Visual Transformers > 6 Challenges and Future Directions > 6.3 Data Requirements,425,704
Discussions,5.3 Image Segmentation,Nível 2,Nível 3,0.862,High/Mid-level Vision > Discussions,A Survey on Visual Transformers > 5 Applications and Performance Analysis > 5.3 Image Segmentation,197,733
Discussions,5.3 Image Segmentation,Nível 1,Nível 3,0.862,Discussions,A Survey on Visual Transformers > 5 Applications and Performance Analysis > 5.3 Image Segmentation,197,733
Future Prospects,1.1 Historical Context and Development,Nível 3,Nível 3,0.861,root > Conclusions and Discussions > Future Prospects,A Survey on Visual Transformers > 1 Introduction to Visual Transformers > 1.1 Historical Context and Development,2535,507
Future Prospects,1.1 Historical Context and Development,Nível 2,Nível 3,0.861,Conclusions and Discussions > Future Prospects,A Survey on Visual Transformers > 1 Introduction to Visual Transformers > 1.1 Historical Context and Development,2535,507
Future Prospects,1.1 Historical Context and Development,Nível 1,Nível 3,0.861,Future Prospects,A Survey on Visual Transformers > 1 Introduction to Visual Transformers > 1.1 Historical Context and Development,2535,507
Transformer with Convolution,1.4 Inductive Biases and Data Requirements,Nível 4,Nível 3,0.86,root > Vision Transformer > Backbone for Representation Learning > Transformer with Convolution,A Survey on Visual Transformers > 1 Introduction to Visual Transformers > 1.4 Inductive Biases and Data Requirements,425,931
Transformer with Convolution,1.4 Inductive Biases and Data Requirements,Nível 3,Nível 3,0.86,Vision Transformer > Backbone for Representation Learning > Transformer with Convolution,A Survey on Visual Transformers > 1 Introduction to Visual Transformers > 1.4 Inductive Biases and Data Requirements,425,931
Transformer with Convolution,1.4 Inductive Biases and Data Requirements,Nível 2,Nível 3,0.86,Backbone for Representation Learning > Transformer with Convolution,A Survey on Visual Transformers > 1 Introduction to Visual Transformers > 1.4 Inductive Biases and Data Requirements,425,931
Transformer with Convolution,1.4 Inductive Biases and Data Requirements,Nível 1,Nível 3,0.86,Transformer with Convolution,A Survey on Visual Transformers > 1 Introduction to Visual Transformers > 1.4 Inductive Biases and Data Requirements,425,931
Transformer with Convolution,2.5 Mobile Deployment Strategies,Nível 4,Nível 3,0.8594,root > Vision Transformer > Backbone for Representation Learning > Transformer with Convolution,A Survey on Visual Transformers > 2 Architectural Innovations in Visual Transformers > 2.5 Mobile Deployment Strategies,425,862
Transformer with Convolution,2.5 Mobile Deployment Strategies,Nível 3,Nível 3,0.8594,Vision Transformer > Backbone for Representation Learning > Transformer with Convolution,A Survey on Visual Transformers > 2 Architectural Innovations in Visual Transformers > 2.5 Mobile Deployment Strategies,425,862
Transformer with Convolution,2.5 Mobile Deployment Strategies,Nível 2,Nível 3,0.8594,Backbone for Representation Learning > Transformer with Convolution,A Survey on Visual Transformers > 2 Architectural Innovations in Visual Transformers > 2.5 Mobile Deployment Strategies,425,862
Transformer with Convolution,2.5 Mobile Deployment Strategies,Nível 1,Nível 3,0.8594,Transformer with Convolution,A Survey on Visual Transformers > 2 Architectural Innovations in Visual Transformers > 2.5 Mobile Deployment Strategies,425,862
Challenges,1.2 Key Concepts and Architecture Overview,Nível 3,Nível 3,0.8574,root > Conclusions and Discussions > Challenges,A Survey on Visual Transformers > 1 Introduction to Visual Transformers > 1.2 Key Concepts and Architecture Overview,396,580
Challenges,1.2 Key Concepts and Architecture Overview,Nível 2,Nível 3,0.8574,Conclusions and Discussions > Challenges,A Survey on Visual Transformers > 1 Introduction to Visual Transformers > 1.2 Key Concepts and Architecture Overview,396,580
Challenges,1.2 Key Concepts and Architecture Overview,Nível 1,Nível 3,0.8574,Challenges,A Survey on Visual Transformers > 1 Introduction to Visual Transformers > 1.2 Key Concepts and Architecture Overview,396,580
Challenges,1.4 Inductive Biases and Data Requirements,Nível 3,Nível 3,0.8574,root > Conclusions and Discussions > Challenges,A Survey on Visual Transformers > 1 Introduction to Visual Transformers > 1.4 Inductive Biases and Data Requirements,396,931
Challenges,1.4 Inductive Biases and Data Requirements,Nível 2,Nível 3,0.8574,Conclusions and Discussions > Challenges,A Survey on Visual Transformers > 1 Introduction to Visual Transformers > 1.4 Inductive Biases and Data Requirements,396,931
Challenges,1.4 Inductive Biases and Data Requirements,Nível 1,Nível 3,0.8574,Challenges,A Survey on Visual Transformers > 1 Introduction to Visual Transformers > 1.4 Inductive Biases and Data Requirements,396,931
Discussions,3.3 Influence of Different Supervision Paradigms,Nível 4,Nível 3,0.857,root > Vision Transformer > High/Mid-level Vision > Discussions,A Survey on Visual Transformers > 3 Attention Mechanisms and Learning Processes > 3.3 Influence of Different Supervision Paradigms,197,833
Discussions,3.3 Influence of Different Supervision Paradigms,Nível 3,Nível 3,0.857,Vision Transformer > High/Mid-level Vision > Discussions,A Survey on Visual Transformers > 3 Attention Mechanisms and Learning Processes > 3.3 Influence of Different Supervision Paradigms,197,833
Discussions,3.3 Influence of Different Supervision Paradigms,Nível 2,Nível 3,0.857,High/Mid-level Vision > Discussions,A Survey on Visual Transformers > 3 Attention Mechanisms and Learning Processes > 3.3 Influence of Different Supervision Paradigms,197,833
Discussions,3.3 Influence of Different Supervision Paradigms,Nível 1,Nível 3,0.857,Discussions,A Survey on Visual Transformers > 3 Attention Mechanisms and Learning Processes > 3.3 Influence of Different Supervision Paradigms,197,833
Future Prospects,3.4 Data Requirements and Learning Flexibility,Nível 3,Nível 3,0.855,root > Conclusions and Discussions > Future Prospects,A Survey on Visual Transformers > 3 Attention Mechanisms and Learning Processes > 3.4 Data Requirements and Learning Flexibility,2535,755
Future Prospects,3.4 Data Requirements and Learning Flexibility,Nível 2,Nível 3,0.855,Conclusions and Discussions > Future Prospects,A Survey on Visual Transformers > 3 Attention Mechanisms and Learning Processes > 3.4 Data Requirements and Learning Flexibility,2535,755
Future Prospects,3.4 Data Requirements and Learning Flexibility,Nível 1,Nível 3,0.855,Future Prospects,A Survey on Visual Transformers > 3 Attention Mechanisms and Learning Processes > 3.4 Data Requirements and Learning Flexibility,2535,755
Discussions,5.2 Object Detection,Nível 4,Nível 3,0.855,root > Vision Transformer > High/Mid-level Vision > Discussions,A Survey on Visual Transformers > 5 Applications and Performance Analysis > 5.2 Object Detection,197,810
Discussions,5.2 Object Detection,Nível 3,Nível 3,0.855,Vision Transformer > High/Mid-level Vision > Discussions,A Survey on Visual Transformers > 5 Applications and Performance Analysis > 5.2 Object Detection,197,810
Discussions,5.2 Object Detection,Nível 2,Nível 3,0.855,High/Mid-level Vision > Discussions,A Survey on Visual Transformers > 5 Applications and Performance Analysis > 5.2 Object Detection,197,810
Discussions,5.2 Object Detection,Nível 1,Nível 3,0.855,Discussions,A Survey on Visual Transformers > 5 Applications and Performance Analysis > 5.2 Object Detection,197,810
Pure Transformer,References,Nível 4,Nível 2,0.8545,root > Vision Transformer > Backbone for Representation Learning > Pure Transformer,A Survey on Visual Transformers > References,1415,642
High-level Video Processing,5.4 Video Understanding,Nível 4,Nível 3,0.8545,root > Vision Transformer > Video Processing > High-level Video Processing,A Survey on Visual Transformers > 5 Applications and Performance Analysis > 5.4 Video Understanding,449,694
Pure Transformer,References,Nível 3,Nível 2,0.8545,Vision Transformer > Backbone for Representation Learning > Pure Transformer,A Survey on Visual Transformers > References,1415,642
High-level Video Processing,5.4 Video Understanding,Nível 3,Nível 3,0.8545,Vision Transformer > Video Processing > High-level Video Processing,A Survey on Visual Transformers > 5 Applications and Performance Analysis > 5.4 Video Understanding,449,694
Pure Transformer,References,Nível 2,Nível 2,0.8545,Backbone for Representation Learning > Pure Transformer,A Survey on Visual Transformers > References,1415,642
Pure Transformer,References,Nível 1,Nível 2,0.8545,Pure Transformer,A Survey on Visual Transformers > References,1415,642
High-level Video Processing,5.4 Video Understanding,Nível 2,Nível 3,0.8545,Video Processing > High-level Video Processing,A Survey on Visual Transformers > 5 Applications and Performance Analysis > 5.4 Video Understanding,449,694
High-level Video Processing,5.4 Video Understanding,Nível 1,Nível 3,0.8545,High-level Video Processing,A Survey on Visual Transformers > 5 Applications and Performance Analysis > 5.4 Video Understanding,449,694
Backbone for Representation Learning,3.4 Data Requirements and Learning Flexibility,Nível 3,Nível 3,0.8545,root > Vision Transformer > Backbone for Representation Learning,A Survey on Visual Transformers > 3 Attention Mechanisms and Learning Processes > 3.4 Data Requirements and Learning Flexibility,195,755
Backbone for Representation Learning,References,Nível 3,Nível 2,0.8545,root > Vision Transformer > Backbone for Representation Learning,A Survey on Visual Transformers > References,195,642
Pure Transformer,2.4 Supervised and Self-Supervised Learning,Nível 4,Nível 3,0.8545,root > Vision Transformer > Backbone for Representation Learning > Pure Transformer,A Survey on Visual Transformers > 2 Architectural Innovations in Visual Transformers > 2.4 Supervised and Self-Supervised Learning,1415,886
Backbone for Representation Learning,3.4 Data Requirements and Learning Flexibility,Nível 2,Nível 3,0.8545,Vision Transformer > Backbone for Representation Learning,A Survey on Visual Transformers > 3 Attention Mechanisms and Learning Processes > 3.4 Data Requirements and Learning Flexibility,195,755
Backbone for Representation Learning,References,Nível 2,Nível 2,0.8545,Vision Transformer > Backbone for Representation Learning,A Survey on Visual Transformers > References,195,642
Pure Transformer,2.4 Supervised and Self-Supervised Learning,Nível 3,Nível 3,0.8545,Vision Transformer > Backbone for Representation Learning > Pure Transformer,A Survey on Visual Transformers > 2 Architectural Innovations in Visual Transformers > 2.4 Supervised and Self-Supervised Learning,1415,886
Backbone for Representation Learning,3.4 Data Requirements and Learning Flexibility,Nível 1,Nível 3,0.8545,Backbone for Representation Learning,A Survey on Visual Transformers > 3 Attention Mechanisms and Learning Processes > 3.4 Data Requirements and Learning Flexibility,195,755
Backbone for Representation Learning,References,Nível 1,Nível 2,0.8545,Backbone for Representation Learning,A Survey on Visual Transformers > References,195,642
Pure Transformer,2.4 Supervised and Self-Supervised Learning,Nível 2,Nível 3,0.8545,Backbone for Representation Learning > Pure Transformer,A Survey on Visual Transformers > 2 Architectural Innovations in Visual Transformers > 2.4 Supervised and Self-Supervised Learning,1415,886
Pure Transformer,2.4 Supervised and Self-Supervised Learning,Nível 1,Nível 3,0.8545,Pure Transformer,A Survey on Visual Transformers > 2 Architectural Innovations in Visual Transformers > 2.4 Supervised and Self-Supervised Learning,1415,886
